model,accuracy,precision,recall,f1
KNN,0.6721311475409836,0.71875,0.6764705882352942,0.696969696969697
Logistic Regression,0.8524590163934426,0.8378378378378378,0.9117647058823529,0.8732394366197183
Naive Bayes,0.8524590163934426,0.8378378378378378,0.9117647058823529,0.8732394366197183
SVM,0.819672131147541,0.8108108108108109,0.8823529411764706,0.8450704225352113
Decision Tree,0.7868852459016393,0.8387096774193549,0.7647058823529411,0.8
Random Forest,0.8852459016393442,0.9090909090909091,0.8823529411764706,0.8955223880597015
